name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Yardbird Southern Table & Bar,"BBQ, Southern",4.9,Excellent,580,$,60,4,South Beach,"South Beach, Miami",Miami,33139,216,25.7891010000,-80.1402670000,0,0
Samurai,"Japanese, Steak, Sushi",4.9,Excellent,315,$,65,4,Kendall/Pinecrest,"Kendall/Pinecrest, Miami",Miami,33176,216,25.6442230000,-80.3347270000,0,0
POC American Fusion Buffet & Sushi,Asian,4.9,Excellent,152,$,150,4,Coral Gables,"Coral Gables, Miami",Miami,33134,216,25.7533100000,-80.2586040000,0,0
Basilic Vietnamese Grill,Vietnamese,4.9,Excellent,149,$,65,4,Lauderdale-by-the-Sea,"Lauderdale-by-the-Sea, Miami",Miami,33308,216,26.1897940000,-80.0981960000,0,0
Perricone's Marketplace & Café,"Italian, Seafood",4.7,Excellent,426,$,75,4,Downtown Miami,"Downtown Miami, Miami",Miami,33131,216,25.7646370000,-80.1929900000,0,0
Center Street Nook,"American, Chilean",4.8,Excellent,120,$,25,2,Jupiter,"Jupiter, Miami",Miami,33458,216,26.9415770000,-80.0963530000,0,0
Ginza Japanese Buffet,"Japanese, Sushi, BBQ",4.8,Excellent,68,$,35,3,Aventura/Golden Beach/Sunny Isles Beach,"Aventura/Golden Beach/Sunny Isles Beach, Miami",Miami,33160,216,25.9252978000,-80.1539142000,0,0
Falafel Bistro & Wine Bar,"Mediterranean, Greek, Vegetarian",4.8,Excellent,238,$,60,4,Coral Springs,"Coral Springs, Miami",Miami,33076,216,26.2967520000,-80.2788540000,0,0
Dune Dog Cafe,"Seafood, BBQ",4.7,Excellent,210,$,50,4,Jupiter,"Jupiter, Miami",Miami,33477,216,26.9412070000,-80.0789870000,0,0
Kristof's Kafe,"American, Breakfast, Healthy Food",4.7,Excellent,99,$,75,4,Davie,"Davie, Miami",Miami,33324,216,26.1027810000,-80.2675590000,0,0
Versailles Restaurant,Cuban,4.6,Excellent,777,$,70,4,Little Havana,"Little Havana, Miami",Miami,33135,216,25.7648820000,-80.2526540000,0,0
Charm City Burger Company,"Fast Food, Burger",4.6,Excellent,323,$,25,2,Deerfield Beach,"Deerfield Beach, Miami",Miami,33441,216,26.3161000000,-80.0882610000,0,0
Michael's Genuine Food & Drink,American,4.6,Excellent,590,$,150,4,Buena Vista/Design District,"Buena Vista/Design District, Miami",Miami,33137,216,25.8132960000,-80.1927250000,0,0
Tom Jenkins Bar-B-Q,BBQ,4.6,Excellent,377,$,45,3,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33316,216,26.1069980000,-80.1367460000,0,0
Mandolin Aegean Bistro,Mediterranean,4.6,Excellent,228,$,275,4,Buena Vista/Design District,"Buena Vista/Design District, Miami",Miami,33137,216,25.8157510000,-80.1916080000,0,0
WHISK Gourmet Food & Catering,"American, Latin American",4.6,Excellent,163,$,85,4,South Miami,"South Miami, Miami",Miami,33143,216,25.7028730000,-80.2845600000,0,0
Georgia Pig BBQ & Restaurant,"American, BBQ, Southern",4.6,Excellent,170,$,15,1,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33317,216,26.1047050000,-80.2016900000,0,0
Brulé Bistro,"French, Tapas",4.6,Excellent,129,$,150,4,Delray Beach,"Delray Beach, Miami",Miami,33444,216,26.4652972000,-80.0711754000,0,0
Shinju Japanese Buffet,"Japanese, Sushi",4.6,Excellent,62,$,50,4,Pembroke Pines,"Pembroke Pines, Miami",Miami,33027,216,26.0075010000,-80.3480830000,0,0
Joe's Stone Crab,Seafood,4.5,Excellent,1256,$,100,4,South Beach,"South Beach, Miami",Miami,33139,216,25.7684080000,-80.1353150000,0,0
Bombay Darbar Indian Restaurant,Indian,4.5,Excellent,218,$,75,4,Coconut Grove,"Coconut Grove, Miami",Miami,33133,216,25.7272470000,-80.2441390000,0,0
Coconuts,"American, Seafood",4.5,Excellent,373,$,30,3,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33316,216,26.1173300000,-80.1058350000,0,0
Puerto Sagua,Cuban,4.5,Excellent,485,$,75,4,South Beach,"South Beach, Miami",Miami,33139,216,25.7771180000,-80.1327610000,0,0
CEVICHE 105,"Seafood, Latin American, Peruvian",4.5,Excellent,418,$,75,4,Downtown Miami,"Downtown Miami, Miami",Miami,33132,216,25.7754632593,-80.1884382626,0,0
Casablanca Café,American,4.5,Excellent,345,$,150,4,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33304,216,26.1251370000,-80.1047560000,0,0
Shibui Japanese Restaurant,"Japanese, Sushi",4.5,Excellent,257,$,75,4,Kendall/Pinecrest,"Kendall/Pinecrest, Miami",Miami,33173,216,25.7022960000,-80.3580960000,0,0
Zona Fresca,"Mexican, Tex-Mex",4.5,Excellent,306,$,25,2,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33305,216,26.1494000000,-80.1199920000,0,0
Villagio,"Italian, Pizza",4.5,Excellent,283,$,65,4,Coral Gables,"Coral Gables, Miami",Miami,33146,216,25.7319630000,-80.2613490000,0,0
Big Bear Brewing Company,"American, Burger, Bar Food",4.5,Excellent,258,$,150,4,Coral Springs,"Coral Springs, Miami",Miami,33071,216,26.2533770000,-80.2531630000,0,0
Talavera Cocina Mexicana,Tex-Mex,4.6,Excellent,217,$,50,4,Coral Gables,"Coral Gables, Miami",Miami,33134,216,25.7513300000,-80.2586070000,0,0
Cancun Grill Miami Lakes,Mexican,4.5,Excellent,186,$,75,4,Miami Lakes,"Miami Lakes, Miami",Miami,33016,216,25.9141100000,-80.3272860000,0,0
Fratelli la Bufala,"Italian, Pizza",4.5,Excellent,131,$,150,4,South Beach,"South Beach, Miami",Miami,33139,216,25.7739020000,-80.1340670000,0,0
Umami Japanese Teppanyaki & Sushi Restaurant,"Chinese, Japanese, Sushi",4.5,Excellent,136,$,150,4,Doral/Miami Springs,"Doral/Miami Springs, Miami",Miami,33172,216,25.7863470000,-80.3369390000,0,0
Ruson Japanese Steak House,"Japanese, Steak, Sushi",4.5,Excellent,145,$,150,4,Kendall/Pinecrest,"Kendall/Pinecrest, Miami",Miami,33186,216,25.6852290000,-80.4186400000,0,0
Ristorante Fratelli Milano,Italian,4.5,Excellent,116,$,130,4,Downtown Miami,"Downtown Miami, Miami",Miami,33131,216,25.7735480000,-80.1900230000,0,0
Ginza Japanese Buffet,"Japanese, Sushi",4.5,Excellent,83,$,40,3,Boynton Beach,"Boynton Beach, Miami",Miami,33426,216,26.5257900000,-80.0906910000,0,0
La Famiglia Italian Restaurant & Pizzeria,"Italian, Pizza, Sandwich",4.5,Excellent,46,$,70,4,Miramar,"Miramar, Miami",Miami,33025,216,25.9757100000,-80.2949790000,0,0
Big Pink,American,4.4,Very Good,428,$,30,3,South Beach,"South Beach, Miami",Miami,33139,216,25.7704400000,-80.1337830000,0,0
Hillstone,"American, Steak",4.4,Very Good,397,$,75,4,Coral Gables,"Coral Gables, Miami",Miami,33134,216,25.7496886000,-80.2588487000,0,0
Sugarcane Raw Bar Grill,"Japanese, Seafood, Spanish, Sushi, Tapas, Vegetarian, South American, New American",4.4,Very Good,335,$,40,3,Wynwood/Edgewater,"Wynwood/Edgewater, Miami",Miami,33137,216,25.8072680000,-80.1931510000,0,0
Chima Brazilian Steakhouse,"Steak, Brazilian",4.4,Very Good,385,$,275,4,Fort Lauderdale,"Fort Lauderdale, Miami",Miami,33301,216,26.1200330000,-80.1132340000,0,0
