name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Elisabeth,"Desserts, Coffee and Tea",4.3,Very Good,79,NZ$,30,2,Kingsland,"Kingsland, Auckland",Auckland,,148,-36.8722327752,174.7449808940,0,0
Giorgia Gelato & Coffee,"Desserts, Coffee and Tea, Ice Cream",4.0,Very Good,48,NZ$,20,1,Onehunga,"Onehunga, Auckland",Auckland,,148,-36.9232364948,174.7854607925,0,0
Espresso Workshop,Coffee and Tea,3.8,Good,79,NZ$,30,2,Britomart,"Britomart, Auckland",Auckland,,148,-36.8449960177,174.7709352896,0,0
Eden Espresso Bar,Coffee and Tea,3.8,Good,81,NZ$,20,1,Mt Eden,"Mt Eden, Auckland",Auckland,1024,148,-36.8708184765,174.7613239288,0,0
Eighthirty,Coffee and Tea,3.8,Good,25,NZ$,20,1,High Street,"High Street, Auckland",Auckland,1010,148,-36.8478521063,174.7667590901,0,0
Camper Coffee,Coffee and Tea,3.8,Good,37,NZ$,10,1,Newmarket,"Newmarket, Auckland",Auckland,1023,148,-36.8680646361,174.7767684236,0,0
Coffix,Coffee and Tea,3.8,Good,25,NZ$,10,1,Newmarket,"Newmarket, Auckland",Auckland,1023,148,-36.8676786560,174.7774547339,0,0
Anastasis Coffee Roasters,Coffee and Tea,3.7,Good,26,NZ$,10,1,Te Atatu South,"Te Atatu South, Auckland",Auckland,,148,-36.8765929847,174.6469595656,0,0
Altezano Espresso,Coffee and Tea,3.6,Good,31,NZ$,35,2,Newmarket,"Newmarket, Auckland",Auckland,1023,148,-36.8683237433,174.7770651430,0,0
Caffetteria Allpress,Cafe Food,3.6,Good,27,NZ$,30,2,Wellesley Street West,"Wellesley Street West, Auckland",Auckland,1010,148,-36.8490092681,174.7555528209,0,0
Deluxe Coffee Bar,Coffee and Tea,3.6,Good,22,NZ$,15,1,Mt Roskill,"Mt Roskill, Auckland",Auckland,,148,-36.9137402803,174.7521427274,0,0
Espresso Workshop,Coffee and Tea,3.6,Good,18,NZ$,30,2,Parnell,"Parnell, Auckland",Auckland,,148,-36.8541498808,174.7790949047,0,0
Weta Coffee,European,3.5,Good,21,NZ$,20,1,One Tree Hill,"One Tree Hill, Auckland",Auckland,1051,148,-36.9096130108,174.7991447523,0,0
Eighthirty,Coffee and Tea,3.4,Average,11,NZ$,30,2,"Ponsonby Central, Ponsonby","Ponsonby Central, Ponsonby, Auckland",Auckland,,148,-36.8563049130,174.7462002933,0,0
Coffee General,Coffee and Tea,3.4,Average,20,NZ$,25,1,Birkenhead,"Birkenhead, Auckland",Auckland,0626,148,-36.8170876681,174.7321780399,0,0
Allpress Coffee,Coffee and Tea,3.4,Average,11,NZ$,30,2,Ponsonby,"Ponsonby, Auckland",Auckland,,148,-36.8507088931,174.7443260998,0,0
Planet Espresso,Cafe Food,3.4,Average,11,NZ$,15,1,Grafton,"Grafton, Auckland",Auckland,1010,148,-36.8612875719,174.7689846531,0,0
Wild Bean Cafe,Coffee and Tea,3.4,Average,9,NZ$,30,2,Newmarket,"Newmarket, Auckland",Auckland,1023,148,-36.8673154735,174.7749176994,0,0
NOTE Coffee & Eats,"Healthy Food, Cafe Food",3.3,Average,11,NZ$,25,1,Epsom,"Epsom, Auckland",Auckland,,148,-36.8822898212,174.7843047604,0,0
Coffix,Coffee and Tea,3.3,Average,8,NZ$,15,1,"Glenfield Mall, Glenfield","Glenfield Mall, Glenfield, Auckland",Auckland,0169,148,-36.7820805719,174.7217908502,0,0
Eighthirty,Coffee and Tea,3.3,Average,12,NZ$,20,1,Karangahape Road,"Karangahape Road, Auckland",Auckland,1010,148,-36.8594849030,174.7534097359,0,0
Eighthirty,Coffee and Tea,3.2,Average,5,NZ$,20,1,Anzac Avenue,"Anzac Avenue, Auckland",Auckland,,148,-36.8467501973,174.7718837857,0,0
