name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Hasan Kolcuoğlu,Turkish,4.9,Excellent,936,QR,250,4,"Medina Centrale, Pearl Qatar","Medina Centrale, Pearl Qatar, Doha",Doha,,166,25.3693911000,51.5511967000,0,0
The Cheesecake Factory,"American, Desserts",4.9,Excellent,287,QR,250,4,"Mall of Qatar, Al Gharafa","Mall of Qatar, Al Gharafa, Doha",Doha,,166,25.3268115769,51.3524338603,0,0
Applebee's,"American, Tex-Mex",4.7,Excellent,386,QR,220,4,"Villaggio, Al Waab","Villaggio, Al Waab, Doha",Doha,,166,25.2607007200,51.4433349296,0,0
Azraq - Banana Island Resort,"International, Sushi",4.5,Excellent,103,QR,500,4,"Banana Island Resort, Souq Waqif","Banana Island Resort, Souq Waqif, Doha",Doha,,166,25.2930930000,51.5346000000,0,0
Ocean Basket,"Seafood, Mediterranean, Sushi",4.5,Excellent,133,QR,200,4,"Mall of Qatar, Al Gharafa","Mall of Qatar, Al Gharafa, Doha",Doha,,166,25.3276561749,51.3514357433,0,0
Yee Hwa,"Korean, Japanese, Sushi",4.4,Very Good,379,QR,150,4,Al Nasr,"Al Nasr, Doha",Doha,,166,25.2771235800,51.5002400056,0,0
Maison De Sushi,"Japanese, Sushi, Salad",4.4,Very Good,198,QR,260,4,"Zero One Mall, Ain Khalid","Zero One Mall, Ain Khalid, Doha",Doha,,166,25.2252217520,51.4774358645,0,0
Eggspectation,"International, Burger",4.4,Very Good,184,QR,250,4,"Medina Centrale, Pearl Qatar","Medina Centrale, Pearl Qatar, Doha",Doha,,166,25.3690648531,51.5528401360,1,0
Sridan - Shangri-La Hotel,Middle Eastern,4.4,Very Good,153,QR,400,4,"Shangri-La Hotel, Dafna","Shangri-La Hotel, Dafna, Doha",Doha,,166,25.3243510000,51.5329890000,0,0
Applebee's,"American, Tex-Mex",4.4,Very Good,202,QR,220,4,"Dar Al Salam Mall, Abu Hamour","Dar Al Salam Mall, Abu Hamour, Doha",Doha,,166,25.2470910393,51.4889764041,0,0
Hasan Kolcuoğlu,Turkish,4.3,Very Good,394,QR,250,4,"Mall of Qatar, Al Gharafa","Mall of Qatar, Al Gharafa, Doha",Doha,,166,25.3267879390,51.3501657173,0,0
Turkey Central Restaurant,Turkish,4.3,Very Good,597,QR,60,3,Al Nasr,"Al Nasr, Doha",Doha,,166,25.2733132233,51.4962927997,0,0
Wok of Fame,"Arabian, Asian, Continental",4.4,Very Good,602,QR,120,4,"Villaggio, Al Waab","Villaggio, Al Waab, Doha",Doha,,166,25.2603362544,51.4428900182,0,0
P.F. Chang's,"Asian, Chinese",4.3,Very Good,397,QR,220,4,"Villaggio, Al Waab","Villaggio, Al Waab, Doha",Doha,,166,25.2606124842,51.4438016340,0,0
Max's Restaurant,Filipino,4.3,Very Good,172,QR,150,4,Al Sadd,"Al Sadd, Doha",Doha,,166,25.2814249432,51.5002980083,0,0
Shakespeare & Co.,"International, Cafe, Desserts",4.3,Very Good,211,QR,160,4,"Dar Al Salam Mall, Abu Hamour","Dar Al Salam Mall, Abu Hamour, Doha",Doha,,166,25.2477697097,51.4883947000,0,0
Shakespeare & Co.,"International, Cafe, Desserts",4.3,Very Good,254,QR,160,4,Pearl Qatar,"Pearl Qatar, Doha",Doha,,166,25.3729594430,51.5433045477,1,0
Burger Boutique,"American, Fast Food, Burger",4.3,Very Good,201,QR,230,4,"Gulf Mall, Al Gharafa","Gulf Mall, Al Gharafa, Doha",Doha,,166,25.3353260793,51.4601832256,0,0
