name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Kazu,"Asian, BBQ, Japanese",4.9,Excellent,1290,$,25,2,Downtown,"Downtown, Montreal",Montreal,H3H 1M2,37,45.4931460000,-73.5797900000,0,0
Rotisserie Romados,"BBQ, Portuguese",4.8,Excellent,683,$,10,1,Plateau Mont-Royal,"Plateau Mont-Royal, Montreal",Montreal,H2W 1C8,37,45.5191770000,-73.5808170000,0,0
Arepera du plateau,"Latin American, Vegetarian, Venezuelan",4.6,Excellent,279,$,10,1,Plateau Mont-Royal,"Plateau Mont-Royal, Montreal",Montreal,H2W1H1,37,45.5184047000,-73.5784907000,0,0
Aux Vivres,"Healthy Food, Beverages, Vegetarian",4.6,Excellent,703,$,25,2,Plateau Mont-Royal,"Plateau Mont-Royal, Montreal",Montreal,H2T1R4,37,45.5211486000,-73.5884149000,0,0
Brit & Chips,"Fast Food, British, Fish and Chips",4.6,Excellent,557,$,25,2,Old Montréal,"Old Montréal, Montreal",Montreal,H2Y 2G5,37,45.5006252000,-73.5581663000,0,0
Burger de Ville,"Burger, Steak",4.7,Excellent,325,$,10,1,Montreal West,"Montreal West, Montreal",Montreal,H4X1Y8,37,45.4532844000,-73.6459719000,0,0
Pho Lien,Vietnamese,4.6,Excellent,340,$,25,2,Côte-Des-Neiges,"Côte-Des-Neiges, Montreal",Montreal,H3S,37,45.4989000000,-73.6275720000,0,0
Au Pied de Cochon,"French, Canadian",4.5,Excellent,1122,$,70,4,Plateau Mont-Royal,"Plateau Mont-Royal, Montreal",Montreal,H2L1A9,37,45.5221700000,-73.5744740000,0,0
Qing Hua Dumpling,"Chinese, Dim Sum",4.5,Excellent,624,$,25,2,Downtown,"Downtown, Montreal",Montreal,H3H 2E7,37,45.4952740000,-73.5809170000,0,0
La Banquise,"Diner, Canadian",4.4,Very Good,1362,$,10,1,Plateau Mont-Royal,"Plateau Mont-Royal, Montreal",Montreal,H2J2J3,37,45.5253714000,-73.5747853000,0,0
Garde Manger,French,4.4,Very Good,758,$,70,4,Old Montréal,"Old Montréal, Montreal",Montreal,H2Y2T1,37,45.5027940000,-73.5556370000,0,0
Tapeo,"Spanish, Tapas",4.4,Very Good,385,$,25,2,Villeray,"Villeray, Montreal",Montreal,,37,45.5415670000,-73.6226874000,0,0
Dinette Triple Crown,American,4.4,Very Good,243,$,25,2,Saint-Édouard,"Saint-Édouard, Montreal",Montreal,H2S3G2,37,45.5314384000,-73.6130424000,0,0
Phayathai,Thai,4.4,Very Good,185,$,40,3,Golden Square Mile,"Golden Square Mile, Montreal",Montreal,H3H2L3,37,45.4945650000,-73.5762980000,0,0
Nextdoor Pub & Grill,"Burger, Coffee and Tea, Bar Food",4.4,Very Good,91,$,25,2,Notre-Dame-de-Grâce,"Notre-Dame-de-Grâce, Montreal",Montreal,H4A1T5,37,45.4756740000,-73.6074990000,0,0
Kuljit india,Indian,4.4,Very Good,78,$,25,2,Saint-Laurent,"Saint-Laurent, Montreal",Montreal,H4K1L4,37,45.5247120000,-73.7130420000,0,0
