name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Zazá Bistrô Tropical,Brazilian,4.7,Excellent,24,R$,170,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9853194444,-43.2052083333,0,0
TT Burger,Burger,4.6,Excellent,18,R$,60,3,"Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",Rio de Janeiro,,30,-22.9868333333,-43.1910000000,0,0
Balada Mix,"Brazilian, Healthy Food, Juices, Pizza",4.6,Excellent,18,R$,90,3,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9852083333,-43.2114250000,0,0
Rio Scenarium,"Brazilian, Bar Food",4.6,Excellent,15,R$,80,3,Centro,"Centro, Rio de Janeiro",Rio de Janeiro,,30,-22.9084833333,-43.1836805556,0,0
Carretão,"Steak, Grill, Brazilian",4.5,Excellent,17,R$,120,4,Copacabana,"Copacabana, Rio de Janeiro",Rio de Janeiro,,30,-22.9701666667,-43.1838333333,0,0
Aconchego Carioca,"Brazilian, Bar Food",4.5,Excellent,17,R$,85,3,Tijuca,"Tijuca, Rio de Janeiro",Rio de Janeiro,,30,-22.9137083333,-43.2155111111,0,0
Venga!,Spanish,4.5,Excellent,10,R$,100,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9828333333,-43.2090000000,0,0
Carretão,"Steak, Grill, Brazilian",4.5,Excellent,12,R$,120,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9846666667,-43.1985000000,0,0
Paris 6,French,4.4,Very Good,25,R$,120,4,Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",Rio de Janeiro,,30,-23.0101666667,-43.3078333333,0,0
Bar Urca,"Brazilian, Bar Food",4.4,Very Good,18,R$,130,4,Urca,"Urca, Rio de Janeiro",Rio de Janeiro,,30,-22.9435000000,-43.1601666667,0,0
Mamma Jamma,Pizza,4.4,Very Good,10,R$,90,3,Jardim Botânico,"Jardim Botânico, Rio de Janeiro",Rio de Janeiro,,30,-22.9656250000,-43.2181444444,0,0
Bar do Mineiro,Brazilian,4.4,Very Good,18,R$,55,2,Santa Teresa,"Santa Teresa, Rio de Janeiro",Rio de Janeiro,,30,-22.9212333333,-43.1868583333,0,0
Outback Steakhouse,American,4.4,Very Good,12,R$,130,4,Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",Rio de Janeiro,,30,-23.0008333333,-43.3743333333,0,0
Boteco Belmonte,"Brazilian, Bar Food",4.4,Very Good,16,R$,100,4,Copacabana,"Copacabana, Rio de Janeiro",Rio de Janeiro,,30,-22.9759694444,-43.1888805556,0,0
Tenkai,Japanese,4.4,Very Good,10,R$,150,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9846500000,-43.2142638889,0,0
Bibi,"Juices, Healthy Food, Burger",4.4,Very Good,14,R$,60,3,Leblon,"Leblon, Rio de Janeiro",Rio de Janeiro,,30,-22.9840000000,-43.2215000000,0,0
Stuzzi,Italian,4.4,Very Good,5,R$,120,4,Leblon,"Leblon, Rio de Janeiro",Rio de Janeiro,,30,-22.9856666667,-43.2283333333,0,0
Boteco Belmonte,"Brazilian, Bar Food",4.4,Very Good,13,R$,100,4,Leblon,"Leblon, Rio de Janeiro",Rio de Janeiro,,30,-22.9826666667,-43.2258333333,0,0
Bio Carioca,"Vegetarian, Healthy Food",4.4,Very Good,9,R$,50,2,Copacabana,"Copacabana, Rio de Janeiro",Rio de Janeiro,,30,-22.9771083333,-43.1896138889,0,0
Delírio Tropical,"Brazilian, Healthy Food, Juices",4.4,Very Good,9,R$,70,3,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9849555556,-43.2092888889,0,0
La Bicyclette,French,4.4,Very Good,8,R$,150,4,Jardim Botânico,"Jardim Botânico, Rio de Janeiro",Rio de Janeiro,,30,-22.9650861111,-43.2222472222,0,0
Outback Steakhouse,American,4.3,Very Good,8,R$,130,4,Botafogo,"Botafogo, Rio de Janeiro",Rio de Janeiro,,30,-22.9543333333,-43.1775000000,0,0
Casa da Feijoada,Brazilian,4.3,Very Good,7,R$,180,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9858333333,-43.1965000000,0,0
Guacamole,Mexican,4.3,Very Good,11,R$,100,4,Lagoa,"Lagoa, Rio de Janeiro",Rio de Janeiro,,30,-22.9606666667,-43.2063333333,0,0
Delírio Tropical,"Brazilian, Healthy Food, Juices",4.3,Very Good,12,R$,70,3,Centro,"Centro, Rio de Janeiro",Rio de Janeiro,,30,-22.9046666667,-43.1758333333,0,0
Bazzar,Contemporary,4.3,Very Good,8,R$,140,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9831666667,-43.2100000000,0,0
Santa Satisfação,"Brazilian, Cafe",4.3,Very Good,10,R$,100,4,Copacabana,"Copacabana, Rio de Janeiro",Rio de Janeiro,,30,-22.9720333333,-43.1866805556,0,0
Giuseppe Grill Mar,"Brazilian, Grill, Seafood",4.3,Very Good,9,R$,150,4,"Lagoon, Leblon","Lagoon, Leblon, Rio de Janeiro",Rio de Janeiro,,30,-22.9763333333,-43.2191666667,0,0
Restô,"Brazilian, Contemporary",4.3,Very Good,10,R$,120,4,Ipanema,"Ipanema, Rio de Janeiro",Rio de Janeiro,,30,-22.9822972222,-43.2048722222,0,0
Cantinho do Leblon,Brazilian,4.3,Very Good,7,R$,60,3,Leblon,"Leblon, Rio de Janeiro",Rio de Janeiro,,30,-22.9826666667,-43.2256666667,0,0
Café Lamas,Brazilian,4.3,Very Good,9,R$,100,4,Flamengo,"Flamengo, Rio de Janeiro",Rio de Janeiro,,30,-22.9338333333,-43.1771666667,0,0
