name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Mirchi And Mime,"North Indian, Mughlai, South Indian",4.9,Excellent,5051,Rs.,1500,3,Powai,"Powai, Mumbai",Mumbai,,1,19.1199252422,72.9073796421,0,0
Shree Thaker Bhojanalay,Gujarati,4.9,Excellent,1203,Rs.,1200,3,Kalbadevi,"Kalbadevi, Mumbai",Mumbai,0,1,18.9508908041,72.8285642713,0,0
Plum by Bent Chair,Asian,4.9,Excellent,91,Rs.,1200,3,Kamala Mills Compound,"Kamala Mills Compound, Mumbai",Mumbai,,1,19.0056940000,72.8266800000,0,0
Bombay Barbeque,"Mughlai, North Indian, BBQ",4.8,Excellent,455,Rs.,1600,3,Vashi,"Vashi, Navi Mumbai",Navi Mumbai,,1,19.0807886998,73.0047807097,0,1
Family Tree,"Italian, Mexican, North Indian, Chinese, Salad",4.7,Excellent,1423,Rs.,800,2,"Panch Pakhadi, Thane West","Panch Pakhadi, Thane West, Thane",Thane,400602,1,19.1936760000,72.9666100000,1,0
Palladium Social,"American, North Indian, Chinese, Finger Food",4.7,Excellent,2886,Rs.,1400,3,"Palladium Mall, Lower Parel","Palladium Mall, Lower Parel, Mumbai",Mumbai,,1,18.9941170000,72.8242106000,0,1
Mondo Fine Dine,"Continental, North Indian, Parsi",4.7,Excellent,616,Rs.,1300,3,Dahisar West,"Dahisar West, Mumbai",Mumbai,,1,19.2581676683,72.8534293547,0,1
HITCHKI,Modern Indian,4.6,Excellent,652,Rs.,1200,3,"Viviana Mall, Majiwada, Thane West","Viviana Mall, Majiwada, Thane West, Thane",Thane,,1,19.2085730000,72.9717180000,0,0
Nav Gomantak,"Seafood, Maharashtrian, Goan, Konkan",4.6,Excellent,565,Rs.,700,2,"Panch Pakhadi, Thane West","Panch Pakhadi, Thane West, Thane",Thane,,1,19.1950314118,72.9630321264,1,0
Royale Masterchef Finedine and Bar,"North Indian, Asian, Continental, Lebanese, Salad",4.6,Excellent,1111,Rs.,1400,3,Dahisar West,"Dahisar West, Mumbai",Mumbai,0400068,1,19.2586408572,72.8532214835,1,1
Hotel Ram Ashraya,South Indian,4.6,Excellent,4146,Rs.,200,1,Matunga East,"Matunga East, Mumbai",Mumbai,0,1,19.0281934226,72.8516775370,0,0
Gateway Taproom,"European, American, Continental, Burger, German, Healthy Food, Steak",4.6,Excellent,441,Rs.,2200,4,Bandra Kurla Complex,"Bandra Kurla Complex, Mumbai",Mumbai,,1,19.0601826172,72.8642708436,0,0
Hard Rock Cafe,"American, Continental, Italian, Salad",4.6,Excellent,3494,Rs.,2500,4,Lower Parel,"Lower Parel, Mumbai",Mumbai,400025,1,19.0067560000,72.8293880000,0,1
1441 Pizzeria,"Pizza, Salad",4.6,Excellent,456,Rs.,1000,3,Malad West,"Malad West, Mumbai",Mumbai,,1,19.1887026781,72.8343732655,1,0
The Union Bar & Eating House,"North Indian, American, European, Asian",4.6,Excellent,377,Rs.,1200,3,Vashi,"Vashi, Navi Mumbai",Navi Mumbai,400703,1,19.0733905906,72.9980094731,0,1
The Joker Bistro,"North Indian, Chinese, Continental",4.6,Excellent,195,Rs.,1200,3,CBD-Belapur,"CBD-Belapur, Navi Mumbai",Navi Mumbai,400614,1,19.0137538621,73.0411538109,1,0
MH-09 Shetkari,Maharashtrian,4.6,Excellent,105,Rs.,350,1,"Panch Pakhadi, Thane West","Panch Pakhadi, Thane West, Thane",Thane,400604,1,19.1953914270,72.9601517692,0,0
Pickle & Pint - Paradise By Tunga,"Continental, Chinese, Indian, Awadhi, Thai",4.6,Excellent,148,Rs.,1800,3,"The Paradise by Tunga, Mahakali","The Paradise by Tunga, Mahakali, Mumbai",Mumbai,400093,1,19.1210957425,72.8708077222,1,1
HITCHKI,Modern Indian,4.5,Excellent,1862,Rs.,1200,3,Bandra Kurla Complex,"Bandra Kurla Complex, Mumbai",Mumbai,400051,1,19.0695969828,72.8698337451,1,0
HITCHKI,Modern Indian,4.5,Excellent,1966,Rs.,1200,3,Powai,"Powai, Mumbai",Mumbai,,1,19.1199303107,72.9073313624,1,0
Pi Bar and Kitchen,"Italian, Pizza, European, Continental, Salad",4.5,Excellent,1113,Rs.,1300,3,"Andheri Lokhandwala, Andheri West","Andheri Lokhandwala, Andheri West, Mumbai",Mumbai,,1,19.1391707625,72.8319907933,1,1
Kaitlyn's Beer Garden,"Continental, Italian, Chinese, Modern Indian, Finger Food, Mediterranean, Seafood, Desserts",4.5,Excellent,1754,Rs.,1600,3,"Hill Road, Bandra West","Hill Road, Bandra West, Mumbai",Mumbai,400050,1,19.0547595048,72.8281954676,1,1
Pi Pizzeria,"Italian, Pizza, Beverages, Desserts, Continental, European",4.5,Excellent,1129,Rs.,1300,3,Khar,"Khar, Mumbai",Mumbai,400052,1,19.0711148165,72.8390332684,1,1
Chili's American Grill & Bar,"American, Mexican, Burger",4.5,Excellent,1526,Rs.,1800,3,"High Street Phoenix, Lower Parel","High Street Phoenix, Lower Parel, Mumbai",Mumbai,,1,18.9943155000,72.8242913000,1,0
Cafe Monza,"Italian, American, Salad, Mexican",4.5,Excellent,2384,Rs.,1000,3,Kharghar,"Kharghar, Navi Mumbai",Navi Mumbai,,1,19.0319911466,73.0668088049,1,0
