name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
La Dogana del Buongusto,"Lombard, Italian",4.9,Excellent,89,€,70,4,Missori - Colonne,"Missori - Colonne, Milano",Milano,20123,99,45.4570715353,9.1816094890,0,0
Nonna Domenica,"Italian, Mediterranean",4.7,Excellent,54,€,60,4,Porta Romana,"Porta Romana, Milano",Milano,20135,99,45.4489055556,9.2000444444,0,0
Temakinho,"Fusion, Sushi, Japanese, Brazilian",4.6,Excellent,202,€,70,4,Brera,"Brera, Milano",Milano,20121,99,45.4747411603,9.1833318025,0,0
Poporoya,"Sushi, Japanese, Asian",4.6,Excellent,107,€,50,4,Porta Venezia,"Porta Venezia, Milano",Milano,20129,99,45.4753975656,9.2147230357,0,0
Al Mercato Restaurant & Burger Bar,"Burger, Street Food, Italian",4.6,Excellent,97,€,40,3,Missori - Colonne,"Missori - Colonne, Milano",Milano,20122,99,45.4573791463,9.1892071813,0,0
Savana,African,4.6,Excellent,34,€,50,4,Sempione,"Sempione, Milano",Milano,20154,99,45.4791604634,9.1739363596,0,0
Temakinho,"Fusion, Sushi, Japanese, Brazilian",4.6,Excellent,103,€,70,4,Navigli,"Navigli, Milano",Milano,20143,99,45.4515817607,9.1737244651,0,0
La Toscana di Tony,"Tuscan, Italian, Mediterranean",4.5,Excellent,47,€,70,4,Porta Venezia,"Porta Venezia, Milano",Milano,20129,99,45.4763892120,9.2114490643,0,0
Fonderie Milanesi,"Italian, Mediterranean",4.4,Very Good,114,€,60,4,Bocconi,"Bocconi, Milano",Milano,20136,99,45.4496170000,9.1846400000,0,0
TOM.,Continental,4.4,Very Good,82,€,70,4,Missori - Colonne,"Missori - Colonne, Milano",Milano,20122,99,45.4566888889,9.1842555556,0,0
Osteria Zio Nino,"Seafood, Italian",4.4,Very Good,38,€,60,4,Navigli,"Navigli, Milano",Milano,20143,99,45.4480432988,9.1622838378,0,0
Albufera,"Tapas, Spanish",4.4,Very Good,47,€,60,4,Buenos Aires,"Buenos Aires, Milano",Milano,20124,99,45.4784279335,9.2056410760,0,0
Copacabana,"Fusion, Sushi, Japanese, Brazilian",4.4,Very Good,61,€,70,4,Sempione,"Sempione, Milano",Milano,20154,99,45.4780010118,9.1753418371,0,0
Inkanto,"Peruvian, Latin American",4.4,Very Good,33,€,70,4,Navigli,"Navigli, Milano",Milano,20143,99,45.4488980000,9.1766430000,0,0
Pescetto,"Seafood, Mediterranean",4.4,Very Good,63,€,50,4,Moscova,"Moscova, Milano",Milano,20121,99,45.4795110000,9.1836190000,0,0
Ristorante Da Oscar,"Italian, Mediterranean",4.4,Very Good,32,€,60,4,Buenos Aires,"Buenos Aires, Milano",Milano,20124,99,45.4764606814,9.2058854923,0,0
Fresco & Cimmino,"Pizza, Cucina Campana, Italian",4.3,Very Good,108,€,50,4,Duomo,"Duomo, Milano",Milano,20121,99,45.4652660000,9.1907840000,0,0
Casa Ramen,"Japanese, Asian",4.4,Very Good,47,€,50,4,Isola,"Isola, Milano",Milano,20159,99,45.4889918050,9.1885885969,0,0
Greek Fusion,Greek,4.3,Very Good,112,€,30,3,Navigli,"Navigli, Milano",Milano,20143,99,45.4518910000,9.1760210000,0,0
10 Corso Como,"Seafood, Grill, Mediterranean, Italian",4.3,Very Good,88,€,70,4,Garibaldi,"Garibaldi, Milano",Milano,20154,99,45.4819257017,9.1874567047,0,0
Drogheria Milanese,"Lombard, Italian, Mediterranean",4.3,Very Good,75,€,60,4,Ticinese,"Ticinese, Milano",Milano,20123,99,45.4580222222,9.1775250000,0,0
Risoelatte,"Home-made, Italian",4.3,Very Good,39,€,60,4,Duomo,"Duomo, Milano",Milano,20123,99,45.4665300000,9.1832120000,0,0
Dry,"Pizza, Mediterranean",4.3,Very Good,89,€,60,4,Moscova,"Moscova, Milano",Milano,20121,99,45.4785470000,9.1884120000,0,0
Anche Ristorante,"Mediterranean, Modern European",4.3,Very Good,50,€,50,4,"Anche, Isola","Anche, Isola, Milano",Milano,20159,99,45.4866527778,9.1870444444,0,0
Baobab,"Burger, American",4.3,Very Good,64,€,40,3,Brera,"Brera, Milano",Milano,20121,99,45.4724678983,9.1839128360,0,0
Carolina's,"BBQ, American",4.2,Very Good,59,€,40,3,Ticinese,"Ticinese, Milano",Milano,20123,99,45.4594855780,9.1812691838,0,0
Al Cortile,"Tapas, Modern European, Italian",4.3,Very Good,21,€,100,4,Bocconi,"Bocconi, Milano",Milano,20136,99,45.4520200000,9.1833470000,0,0
Bomaki,"Fusion, Sushi, Japanese, Brazilian",4.3,Very Good,32,€,70,4,Moscova,"Moscova, Milano",Milano,20121,99,45.4780658965,9.1843366250,0,0
Marghe,"Neapolitan, Italian",4.3,Very Good,32,€,40,3,Porta Romana,"Porta Romana, Milano",Milano,,99,45.4584250000,9.2128560000,0,0
4cento,"Lombard, Italian, Mediterranean",4.3,Very Good,24,€,60,4,Chiesa Rossa,"Chiesa Rossa, Milano",Milano,20141,99,45.4334680000,9.1939860000,0,0
Ba-Asian Mood,"Japanese, Chinese, Korean, Asian",4.3,Very Good,26,€,70,4,Washington,"Washington, Milano",Milano,20149,99,45.4681916667,9.1516972222,0,0
Zazà Ramen,"Japanese, Asian",4.3,Very Good,69,€,60,4,Moscova,"Moscova, Milano",Milano,20121,99,45.4789100000,9.1886080000,0,0
Bomaki,"Fusion, Sushi, Japanese, Brazilian",4.2,Very Good,91,€,70,4,Sempione,"Sempione, Milano",Milano,20154,99,45.4773813113,9.1702225059,0,0
Obicà,"Neapolitan, Cucina Campana, Pizza, Italian",4.2,Very Good,63,€,60,4,"La Rinascente, Duomo","La Rinascente, Duomo, Milano",Milano,20121,99,45.4648083333,9.1920500000,0,0
Al Fresco,Mediterranean,4.2,Very Good,68,€,80,4,Navigli,"Navigli, Milano",Milano,20144,99,45.4541750000,9.1630722222,0,0
U Barba,"Ligurian, Italian, Mediterranean",4.2,Very Good,65,€,60,4,Lodi,"Lodi, Milano",Milano,20137,99,45.4491370000,9.2170560000,0,0
Burger Wave,Burger,4.2,Very Good,93,€,25,2,Ticinese,"Ticinese, Milano",Milano,20122,99,45.4569466560,9.1808759049,0,0
Perla d'Oro,"Sushi, Japanese, Asian",4.2,Very Good,50,€,50,4,Navigli,"Navigli, Milano",Milano,20144,99,45.4529830658,9.1741757467,0,0
La Cantina di Manuela,"Modern European, Italian",4.2,Very Good,29,€,50,4,Sempione,"Sempione, Milano",Milano,20154,99,45.4832277778,9.1697916667,0,0
Erba Brusca,"Italian, Mediterranean",4.2,Very Good,66,€,70,4,Famagosta,"Famagosta, Milano",Milano,20142,99,45.4228940000,9.1673490000,0,0
Piz,Pizza,4.2,Very Good,21,€,30,3,Duomo,"Duomo, Milano",Milano,,99,45.4618590000,9.1859260000,0,0
Frijenno Magnanno,"Pizza, Neapolitan",4.2,Very Good,42,€,50,4,Buenos Aires,"Buenos Aires, Milano",Milano,20124,99,45.4831798052,9.2099728435,0,0
Al Garghet,"Lombard, Italian",4.2,Very Good,49,€,70,4,Chiesa Rossa,"Chiesa Rossa, Milano",Milano,20141,99,45.4198780000,9.1929550000,0,0
Nordic Grill,"Steak, Grill",4.2,Very Good,27,€,80,4,Sant'Ambrogio,"Sant'Ambrogio, Milano",Milano,20123,99,45.4596511355,9.1765364259,0,0
I Sapori di Giovy,Italian,4.2,Very Good,35,€,60,4,Città Studi,"Città Studi, Milano",Milano,20131,99,45.4803388889,9.2187055556,0,0
Wang Jiao,"Chinese, Asian",4.2,Very Good,44,€,40,3,Chinatown,"Chinatown, Milano",Milano,20154,99,45.4820240000,9.1723950000,0,0
Fukurou,"Sushi, Japanese, Asian",4.2,Very Good,36,€,80,4,Bande Nere,"Bande Nere, Milano",Milano,20146,99,45.4655833333,9.1448833333,0,0
Shiva,"Indian, Asian",4.2,Very Good,41,€,60,4,Ticinese,"Ticinese, Milano",Milano,20122,99,45.4526759012,9.1825375333,0,0
Trippa,"Italian, Mediterranean",4.2,Very Good,20,€,50,4,Porta Romana,"Porta Romana, Milano",Milano,20135,99,45.4523210000,9.2056100000,0,0
Cibo Enò,"Italian, Mediterranean",4.2,Very Good,25,€,50,4,Bovisa,"Bovisa, Milano",Milano,20158,99,45.5061590000,9.1659070000,0,0
Alhambra,"Healthy Food, Mediterranean",4.1,Very Good,35,€,50,4,Buenos Aires,"Buenos Aires, Milano",Milano,20124,99,45.4785341932,9.2065312341,0,0
