name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Urbanologi,Tapas,4.9,Excellent,328,R,700,4,Marshalltown,"Marshalltown, Inner City",Inner City,,189,-26.2070910000,28.0318630000,0,0
Gemelli Cucina Bar,"Contemporary, Italian",4.8,Excellent,856,R,450,4,Bryanston,"Bryanston, Sandton",Sandton,2191,189,-26.0519822877,28.0230287835,0,0
Cafe Del Sol Classico,"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.7,Excellent,675,R,400,4,North Riding,"North Riding, Randburg",Randburg,,189,-26.0629450000,27.9697480000,0,0
Licorish Bistro,"European, South African",4.7,Excellent,983,R,545,4,"Nicolway Shopping Centre, Bryanston","Nicolway Shopping Centre, Bryanston, Sandton",Sandton,,189,-26.0523333333,28.0210000000,0,0
Brian Lara Rum Eatery,Caribbean,4.6,Excellent,229,R,300,4,Linden,"Linden, Randburg",Randburg,,189,-26.1405970000,27.9926690000,0,0
Olives and Plates - Club & Conference,"Mediterranean, Greek",4.6,Excellent,144,R,0,1,Braamfontein,"Braamfontein, Inner City",Inner City,,189,-26.1933893007,28.0310271308,0,0
The Big Mouth,"Grill, Steak, Burger, Sushi, Tapas",4.5,Excellent,631,R,400,4,"Nelson Mandela Square, Sandown","Nelson Mandela Square, Sandown, Sandton",Sandton,,189,-26.1075000000,28.0546666667,0,0
Cafe Del Sol Botanico,"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.5,Excellent,596,R,400,4,"Bryanston Shopping Centre, Bryanston","Bryanston Shopping Centre, Bryanston, Sandton",Sandton,,189,-26.0748760000,28.0277250000,0,0
Momo Baohaus,"Asian, Sushi, Tapas",4.5,Excellent,431,R,300,4,Greenside,"Greenside, Johannesburg",Johannesburg,,189,-26.1465800000,28.0110590000,0,0
Escondido Tapas,Mediterranean,4.5,Excellent,821,R,450,4,"Post Office Center, Illovo","Post Office Center, Illovo, Sandton",Sandton,2196,189,-26.1290020000,28.0508450000,0,0
Pablo Eggs-Go-Bar,"Cafe, Contemporary, Beverages, Burger, Desserts, Juices, Grill, African",4.5,Excellent,341,R,300,4,Melville,"Melville, Johannesburg",Johannesburg,,189,-26.1775990000,28.0085090000,0,0
La Boqueria,International,4.4,Very Good,300,R,300,4,Parktown North,"Parktown North, Johannesburg",Johannesburg,2193,189,0.0000000000,0.0000000000,0,0
The Great Eastern Food Bar,Asian,4.4,Very Good,415,R,380,4,Melville,"Melville, Johannesburg",Johannesburg,,189,-26.1744250000,28.0135220000,0,0
