name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Ombra,Italian,4.8,Excellent,187,NZ$,70,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2948333333,174.7750000000,0,0
Little Penang,Malaysian,4.7,Excellent,229,NZ$,50,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2919010000,174.7770910000,0,0
Egmont St Eatery,"Kiwi, Cafe Food",4.6,Excellent,94,NZ$,70,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2921140000,174.7780740000,0,0
Fidel's,"European, Mexican, Cafe Food",4.5,Excellent,302,NZ$,50,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2959700000,174.7741340000,0,0
Apache,"Vietnamese, French",4.5,Excellent,68,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,6011,148,-41.2897980000,174.7769320000,0,0
Chow,Asian,4.4,Very Good,271,NZ$,80,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2938333333,174.7810000000,0,0
Fisherman's Plate,"Vietnamese, Fish and Chips",4.3,Very Good,131,NZ$,40,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2890000000,174.7756666667,0,0
Scopa Caffe Cucina,"Italian, Pizza",4.3,Very Good,172,NZ$,65,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2933900000,174.7756890000,0,0
Floriditas,"Italian, Cafe Food",4.3,Very Good,194,NZ$,105,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2938333333,174.7755000000,0,0
Loretta,"European, Cafe Food",4.3,Very Good,141,NZ$,80,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2941540000,174.7752960000,0,0
Restaurant 88,Vietnamese,4.3,Very Good,137,NZ$,90,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2952520000,174.7799860000,0,0
Mr Go's,"Asian, Chinese",4.3,Very Good,82,NZ$,0,1,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2928220000,174.7785710000,0,0
The Larder,"European, Cafe Food",4.3,Very Good,86,NZ$,75,4,Miramar,"Miramar, Wellington City",Wellington City,,148,-41.3067080000,174.8258310000,0,0
La Bella Italia,"Italian, Deli",4.2,Very Good,129,NZ$,70,4,Petone,"Petone, Wellington",Wellington,5012,148,0.0000000000,0.0000000000,0,0
The Crab Shack,"Seafood, Kiwi",4.2,Very Good,272,NZ$,90,4,Wellington Central,"Wellington Central, Wellington City",Wellington City,,148,-41.2848333333,174.7791666667,0,0
Monsoon Poon,Asian,4.2,Very Good,189,NZ$,100,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2930580000,174.7832930000,0,0
PappaRich,Malaysian,4.2,Very Good,110,NZ$,60,3,Wellington Central,"Wellington Central, Wellington City",Wellington City,6011,148,-41.2848675726,174.7765173694,0,0
Origami,"Japanese, Sushi",4.2,Very Good,112,NZ$,40,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2940890000,174.7750190000,0,0
Olive,"Mediterranean, European, Cafe Food",4.2,Very Good,161,NZ$,80,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2944020000,174.7750050000,0,0
Queen Of Jackson,European,4.2,Very Good,53,NZ$,65,3,Petone,"Petone, Wellington",Wellington,,148,-41.2250220000,174.8784210000,0,0
Kilim,Turkish,4.2,Very Good,121,NZ$,55,3,Petone,"Petone, Wellington",Wellington,,148,-41.2240000000,174.8745000000,0,0
Gauchos Churrasco BBQ,"Argentine, BBQ, Latin American",4.2,Very Good,41,NZ$,80,4,Lower Hutt Central,"Lower Hutt Central, Wellington",Wellington,,148,-41.2118190000,174.8903640000,0,0
Burger Liquor,American,4.1,Very Good,154,NZ$,55,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2897980000,174.7745460000,0,0
Sweet Mother's Kitchen,"Mexican, American",4.1,Very Good,343,NZ$,55,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2941666667,174.7831666667,0,0
Plum Cafe,Cafe Food,4.1,Very Good,138,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2923640000,174.7762740000,0,0
Mexico,Mexican,4.1,Very Good,126,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2918150000,174.7770100000,0,0
Enigma Cafe,"Kiwi, Ice Cream, Desserts, Cafe Food",4.1,Very Good,131,NZ$,50,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2925000000,174.7791666667,0,0
Five Boroughs,American,4.1,Very Good,141,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2955624072,174.7740590572,0,0
K Sing,"Vietnamese, Thai",4.1,Very Good,89,NZ$,50,3,Petone,"Petone, Wellington",Wellington,,148,-41.2247280404,174.8762585968,0,0
Aunty Mena Vegetarian,Malaysian,4.1,Very Good,122,NZ$,35,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2940000000,174.7753333333,0,0
CinCin,"Italian, Pizza",4.1,Very Good,106,NZ$,75,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2940490000,174.7751670000,0,0
The Arborist Rooftop Bar & Eatery,"European, Kiwi",4.1,Very Good,68,NZ$,65,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2906190000,174.7737540000,0,0
Pizzeria Napoli,Italian,4.1,Very Good,97,NZ$,55,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2936700000,174.7824190000,0,0
The Bresolin,European,4.1,Very Good,69,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2946790000,174.7712670000,0,0
Oli & Mi,European,4.1,Very Good,25,NZ$,110,4,Petone,"Petone, Wellington",Wellington,,148,-41.2262201217,174.8811070248,0,0
Mama Brown,"Mexican, American, Cafe Food",4.0,Very Good,189,NZ$,65,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2922270000,174.7816630000,0,0
Southern Cross Garden Bar Restaurant,"Kiwi, European",4.0,Very Good,205,NZ$,80,4,Te Aro,"Te Aro, Wellington City",Wellington City,6011,148,-41.2964940000,174.7744770000,0,0
Dragons,Chinese,4.0,Very Good,130,NZ$,50,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2930000000,174.7813333333,0,0
The Oaks Satay Noodle House,Asian,4.0,Very Good,81,NZ$,40,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2916010000,174.7767180000,0,0
KC Cafe & Takeaway,"Chinese, Asian",4.0,Very Good,122,NZ$,40,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2935000000,174.7820000000,0,0
Grill Meats Beer,"European, BBQ, Kiwi",4.0,Very Good,158,NZ$,60,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2952600000,174.7746070000,0,0
Foxglove Bar & Kitchen,"European, Kiwi",4.0,Very Good,131,NZ$,90,4,Wellington Central,"Wellington Central, Wellington City",Wellington City,,148,-41.2834971374,174.7783532739,0,0
Spruce Goose,"Kiwi, Cafe Food",4.0,Very Good,234,NZ$,65,3,Lyall Bay,"Lyall Bay, Wellington City",Wellington City,,148,-41.3283339176,174.8037507758,0,0
Joe's Garage,"European, Cafe Food",4.0,Very Good,121,NZ$,50,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2923333333,174.7816666667,0,0
Viva Mexico,Mexican,4.0,Very Good,150,NZ$,50,3,"Left Bank, Te Aro","Left Bank, Te Aro, Wellington City",Wellington City,,148,-41.2924970000,174.7755500000,0,0
Rock Yard,Vietnamese,4.0,Very Good,96,NZ$,70,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2930000000,174.7825000000,0,0
El Matador,"Spanish, Grill, Argentine",4.0,Very Good,120,NZ$,90,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2950000000,174.7748333333,0,0
The Green Man Pub,"European, Kiwi",4.0,Very Good,68,NZ$,80,4,Wellington Central,"Wellington Central, Wellington City",Wellington City,,148,-41.2868685737,174.7769669071,0,0
Havana Bar,"European, Spanish",4.0,Very Good,79,NZ$,65,3,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2958250000,174.7750910000,0,0
Hummingbird Eatery & Bar,"European, Finger Food",4.0,Very Good,51,NZ$,110,4,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2937190630,174.7828118756,0,0
Tatsushi,Japanese,4.0,Very Good,53,NZ$,40,2,Te Aro,"Te Aro, Wellington City",Wellington City,,148,-41.2898333333,174.7755000000,0,0
Coene's Bar & Eatery,Kiwi,4.0,Very Good,40,NZ$,90,4,Oriental Bay,"Oriental Bay, Wellington City",Wellington City,,148,-41.2913570000,174.7878050000,0,0
