name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Vietnam House Restaurant & Gallery,Vietnamese,4.9,Excellent,64,£,30,3,West End,"West End, Edinburgh",Edinburgh,EH3 8AF,215,55.9459020000,-3.2128150000,0,0
La Favorita,Italian,4.5,Excellent,109,£,30,3,Leith,"Leith, Edinburgh",Edinburgh,EH6 8SA,215,55.9646694444,-3.1768583333,0,0
Kanpai,Japanese,4.4,Very Good,47,£,30,3,Old Town,"Old Town, Edinburgh",Edinburgh,EH3 9AS,215,55.9466694444,-3.2038250000,0,0
Mother India's Cafe,Indian,4.4,Very Good,128,£,25,2,Old Town,"Old Town, Edinburgh",Edinburgh,EH1 1LT,215,55.9480027778,-3.1862500000,0,0
Cafe Andaluz,"Spanish, Tapas",4.3,Very Good,93,£,45,3,New Town,"New Town, Edinburgh",Edinburgh,EH2 3EE,215,55.9530944444,-3.2013361111,0,0
Chaophraya,Thai,4.3,Very Good,50,£,50,4,New Town,"New Town, Edinburgh",Edinburgh,EH2 3DN,215,55.9522210000,-3.2031590000,0,0
The Scran & Scallie,"Scottish, British",4.3,Very Good,48,£,50,4,Stockbridge,"Stockbridge, Edinburgh",Edinburgh,EH4 1DT,215,55.9591611111,-3.2146138889,0,0
David Bann,"Asian, Italian, Mediterranean, European",4.3,Very Good,67,£,40,3,Old Town,"Old Town, Edinburgh",Edinburgh,EH1 1ST,215,55.9494055556,-3.1836750000,0,0
Nobles Cafe Bar & Restaurant,"Scottish, European",4.3,Very Good,51,£,35,3,Leith,"Leith, Edinburgh",Edinburgh,EH6 6RS,215,55.9748333333,-3.1671944444,0,0
Dusit,Thai,4.2,Very Good,56,£,45,3,New Town,"New Town, Edinburgh",Edinburgh,EH2 1DY,215,55.9538944444,-3.1993916667,0,0
Hard Rock Cafe,American,4.2,Very Good,87,£,40,3,New Town,"New Town, Edinburgh",Edinburgh,EH2 2PF,215,55.9534944444,-3.1962944444,0,0
