name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Spiral - Sofitel Philippine Plaza Manila,"European, Asian, Indian",4.9,Excellent,952,P,6000,4,"Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, CCP Complex, Pasay City, Pasay City",Pasay City,,162,14.5545476103,120.9808790311,0,0
Café Ilang Ilang - Manila Hotel,"International, Asian, Mediterranean, European",4.7,Excellent,285,P,2600,4,"Manila Hotel, Ermita, Manila","Manila Hotel, Ermita, Manila, Manila",Manila,0913,162,14.5828637707,120.9748695418,0,0
NIU by Vikings,"Seafood, American, Mediterranean, Japanese",4.6,Excellent,894,P,3000,4,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",Taguig City,,162,14.5462362560,121.0543645173,0,0
Antonio's,"French, Mediterranean, American, Italian",4.6,Excellent,223,P,4500,4,Tagaytay City,"Tagaytay City, Tagaytay City",Tagaytay City,,162,14.1003674310,120.8935184777,0,0
Blackbird,"European, Asian",4.5,Excellent,290,P,3100,4,"Ayala Triangle Gardens, Salcedo Village, Makati City","Ayala Triangle Gardens, Salcedo Village, Makati City, Makati City",Makati City,,162,14.5559080000,121.0245090000,0,0
Finestra Italian Steakhouse,Italian,4.5,Excellent,97,P,3900,4,"Solaire Resort & Casino, Entertainment City, Parañaque City","Solaire Resort & Casino, Entertainment City, Parañaque City, Parañaque City",Parañaque City,,162,14.5225810486,120.9802668169,0,1
Fresh - Solaire Resort & Casino,"Italian, Asian, Seafood",4.5,Excellent,186,P,4000,4,"Solaire Resort & Casino, Entertainment City, Parañaque City","Solaire Resort & Casino, Entertainment City, Parañaque City, Parañaque City",Parañaque City,,162,14.5230107705,120.9803083912,0,1
22 Prime - Discovery Suites,"American, Steak",4.5,Excellent,95,P,3600,4,"Discovery Suites, Ortigas, Pasig City","Discovery Suites, Ortigas, Pasig City, Pasig City",Pasig City,,162,14.5857827288,121.0603220388,0,1
Benjarong - Dusit Thani Manila,"Thai, Salad",4.5,Excellent,76,P,2500,4,"Dusit Thani Manila, San Lorenzo, Makati City","Dusit Thani Manila, San Lorenzo, Makati City, Makati City",Makati City,,162,14.5487724351,121.0260031745,0,0
Ninyo Fusion Cuisine & Wine Lounge,"Asian, Japanese, French, Fusion",4.4,Very Good,275,P,3500,4,Loyola Heights,"Loyola Heights, Quezon City",Quezon City,,162,14.6385408586,121.0732915252,0,0
Marriott Cafe - Manila Marriott Hotel,"Asian, European, American",4.4,Very Good,139,P,2000,4,"Manila Marriott Hotel, Newport City, Pasay City","Manila Marriott Hotel, Newport City, Pasay City, Pasay City",Pasay City,1309,162,14.5208333333,121.0188333333,0,1
