name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Estadão,"Brazilian, Bar Food",4.3,Very Good,30,R$,25,1,República,"República, São Paulo",São Paulo,10000,30,-23.5485000000,-46.6426666667,0,0
Vinil Burger,Burger,4.1,Very Good,15,R$,50,2,Pinheiros,"Pinheiros, São Paulo",São Paulo,,30,-23.5592670000,-46.6965330000,0,0
Rinconcito Peruano,Peruvian,4.1,Very Good,18,R$,50,2,Bom Retiro,"Bom Retiro, São Paulo",São Paulo,,30,-23.5405000000,-46.6406666667,0,0
The Dog Haüs,"American, Fast Food",4.0,Very Good,32,R$,50,2,Itaim Bibi,"Itaim Bibi, São Paulo",São Paulo,,30,-23.5830000000,-46.6760000000,0,0
Hamburguer do Seu Oswaldo,"Fast Food, Burger",4.0,Very Good,21,R$,30,1,Ipiranga,"Ipiranga, São Paulo",São Paulo,,30,-23.5908333333,-46.6070000000,0,0
Mr. Baker,"Bakery, Brazilian",4.0,Very Good,15,R$,50,2,Itaim Bibi,"Itaim Bibi, São Paulo",São Paulo,,30,-23.5813930000,-46.6768560000,0,0
Bananeira,Brazilian,3.9,Good,10,R$,50,2,Vila Andrade,"Vila Andrade, São Paulo",São Paulo,,30,-23.6168333333,-46.7373333333,0,0
Figone,"American, Burger",3.8,Good,14,R$,50,2,Vila Mariana,"Vila Mariana, São Paulo",São Paulo,,30,-23.5933333333,-46.6381666667,0,0
Rock'n'Roll Burger,"American, Burger",3.7,Good,11,R$,60,3,Consolação,"Consolação, São Paulo",São Paulo,,30,-23.5516666667,-46.6513333333,0,0
Hamburgueria do Sujinho,"American, Burger, Fast Food",3.8,Good,13,R$,60,3,República,"República, São Paulo",São Paulo,,30,-23.5413805556,-46.6386222222,0,0
Lá da Venda,"Cafe, Brazilian",3.8,Good,11,R$,55,2,Vila Madalena,"Vila Madalena, São Paulo",São Paulo,05435000,30,-23.5565000000,-46.6871666667,0,0
A Casa do Porco,Bar Food,3.9,Good,11,R$,100,4,República,"República, São Paulo",São Paulo,,30,-23.5449050000,-46.6447100000,0,0
Hobby Hamburguer,"American, Burger, Fast Food",3.7,Good,11,R$,70,3,Perdizes,"Perdizes, São Paulo",São Paulo,10000,30,-23.5418333333,-46.6715000000,0,0
Iracema Pães e Doces,"Bakery, Brazilian",3.7,Good,8,R$,50,2,Santa Cecília,"Santa Cecília, São Paulo",São Paulo,,30,-23.5340000000,-46.6535000000,0,0
Benjamin Abrahão,"Brazilian, Bakery, Desserts",3.7,Good,8,R$,60,3,Perdizes,"Perdizes, São Paulo",São Paulo,10000,30,-23.5381666667,-46.6715000000,0,0
Cabana Burger,Burger,3.7,Good,5,R$,40,2,Jardim Paulista,"Jardim Paulista, São Paulo",São Paulo,,30,0.0000000000,0.0000000000,0,0
St. Louis Burger Shop,"American, Burger",3.6,Good,8,R$,50,2,Jardim Paulista,"Jardim Paulista, São Paulo",São Paulo,10000,30,-23.5655000000,-46.6658333333,0,0
Acai Mooca,"Juices, Desserts, Healthy Food",3.7,Good,8,R$,35,2,Mooca,"Mooca, São Paulo",São Paulo,10000,30,-23.5536666667,-46.5915000000,0,0
Kopenhagen,"Desserts, Cafe",3.7,Good,3,R$,30,1,"Shopping Top Center, Bela Vista","Shopping Top Center, Bela Vista, São Paulo",São Paulo,,30,-23.5653333333,-46.6503333333,0,0
