name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Moro Gelato,"Desserts, Ice Cream",4.8,Excellent,71,R,80,1,CBD,"CBD, Cape Town",Cape Town,,189,-33.9241081389,18.4173174575,0,0
Unframed Ice Cream,Ice Cream,4.7,Excellent,104,R,40,1,Gardens,"Gardens, Cape Town",Cape Town,,189,-33.9286914060,18.4120974874,0,0
The Velvet Cake Co.,"Bakery, Desserts",4.6,Excellent,89,R,165,2,CBD,"CBD, Cape Town",Cape Town,,189,-33.9192997932,18.4215120971,0,0
The Creamery,"Desserts, Ice Cream",4.5,Excellent,388,R,110,2,Newlands,"Newlands, Cape Town",Cape Town,,189,-33.9702860000,18.4619500000,0,0
My Sugar,"Cafe, Patisserie, Bakery, Desserts",4.5,Excellent,196,R,125,2,Sea Point,"Sea Point, Cape Town",Cape Town,,189,-33.9216920000,18.3827590000,0,0
The Velvet Cake Co.,"Cafe, Desserts, Bakery",4.4,Very Good,128,R,160,2,Bellville,"Bellville, Cape Town",Cape Town,,189,-33.8683006732,18.6411799863,0,0
The Creamery,"Desserts, Ice Cream",4.2,Very Good,110,R,110,2,Green Point,"Green Point, Cape Town",Cape Town,,189,-33.9040931407,18.3990827948,0,0
Myog,Desserts,4.1,Very Good,87,R,100,2,Gardens,"Gardens, Cape Town",Cape Town,,189,-33.9315000000,18.4093333333,0,0
The Creamery,"Desserts, Ice Cream",4.1,Very Good,44,R,75,1,Claremont,"Claremont, Cape Town",Cape Town,7945,189,-33.9812780000,18.4674220000,0,0
Baskin Robbins,"Ice Cream, Desserts",3.9,Good,38,R,80,1,"Canal Walk Mall, Century City","Canal Walk Mall, Century City, Cape Town",Cape Town,,189,-33.8939850000,18.5092750000,0,0
DV Artisan Chocolate,Desserts,3.9,Good,25,R,70,1,"Spice Route Farm, Paarl","Spice Route Farm, Paarl, Cape Town",Cape Town,,189,-33.7608640000,18.9167030000,0,0
Asara Deli,"Desserts, Deli",3.8,Good,26,R,80,1,"Asara Wine Estate, Stellenbosch","Asara Wine Estate, Stellenbosch, Cape Town",Cape Town,,189,-33.9435000000,18.8085000000,0,0
Myog,Desserts,3.8,Good,36,R,100,2,Sea Point,"Sea Point, Cape Town",Cape Town,,189,-33.9207670000,18.3835440000,0,0
Haagen Dazs,"Desserts, Ice Cream",3.7,Good,63,R,120,2,"Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,,189,-33.9043333333,18.4200000000,0,0
The Creamery,"Desserts, Ice Cream",3.7,Good,38,R,75,1,V & A Waterfront,"V & A Waterfront, Cape Town",Cape Town,,189,-33.9053510000,18.4195710000,0,0
The Ice Cafe,Desserts,3.7,Good,41,R,45,1,"Kalk Bay, Bay Area","Kalk Bay, Bay Area, Cape Town",Cape Town,,189,-34.1260000000,18.4498333333,0,0
Gelato Mania,"Desserts, Ice Cream",3.6,Good,56,R,100,2,Green Point,"Green Point, Cape Town",Cape Town,,189,-33.9085175180,18.4113870934,0,0
For the Love of Yummyness,Desserts,3.6,Good,26,R,100,2,"V & A Foodmarket, V & A Waterfront","V & A Foodmarket, V & A Waterfront, Cape Town",Cape Town,,189,-33.9064010000,18.4198230000,0,0
Le Delizie,"Ice Cream, Desserts",3.6,Good,17,R,50,1,"Dean Street Arcade, Newlands","Dean Street Arcade, Newlands, Cape Town",Cape Town,,189,-33.9713770000,18.4641800000,0,0
The Dairy Den,Ice Cream,3.5,Good,30,R,70,1,Sea Point,"Sea Point, Cape Town",Cape Town,8005,189,-33.9145060000,18.3906000000,0,0
Marcel's Frozen Yoghurt,Desserts,3.5,Good,43,R,100,2,"Fountain Square, Rondebosch","Fountain Square, Rondebosch, Cape Town",Cape Town,,189,-33.9598333333,18.4705000000,0,0
Marcel's Frozen Yoghurt,Desserts,3.5,Good,27,R,100,2,"Canal Walk Mall, Century City","Canal Walk Mall, Century City, Cape Town",Cape Town,,189,-33.8930000000,18.5105000000,0,0
Marcel's Frozen Yoghurt,Desserts,3.5,Good,35,R,100,2,"Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,,189,-33.9046079386,18.4200529754,0,0
Cookies and Cream ,"Ice Cream, Desserts",3.5,Good,21,R,50,1,CBD,"CBD, Cape Town",Cape Town,,189,-33.9221930000,18.4159220000,0,0
Gelato Mania,"Desserts, Ice Cream",3.5,Good,30,R,100,2,"Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",Cape Town,,189,-33.9043333333,18.4203333333,0,0
Sinnfull Ice Cream,Desserts,3.5,Good,27,R,50,1,Hout Bay,"Hout Bay, Cape Town",Cape Town,,189,-34.0548250000,18.3472110000,0,0
The Donut Centre,Desserts,3.5,Good,32,R,70,1,"Canal Walk Mall, Century City","Canal Walk Mall, Century City, Cape Town",Cape Town,,189,-33.8928333333,18.5106666667,0,0
Myog,Desserts,3.5,Good,19,R,100,2,Stellenbosch,"Stellenbosch, Cape Town",Cape Town,,189,-33.9373050000,18.8599030000,0,0
IceDream,"Desserts, Ice Cream",3.5,Good,19,R,60,1,"Mainstream Shopping Centre, Hout Bay","Mainstream Shopping Centre, Hout Bay, Cape Town",Cape Town,,189,-34.0426660000,18.3586300000,0,0
De Villiers Chocolate Cafe,"Cafe, Desserts",3.4,Average,14,R,180,2,Franschhoek,"Franschhoek, Cape Town",Cape Town,,189,-33.9129914708,19.1218244657,0,0
Gelato Mania,"Desserts, Ice Cream",3.4,Average,14,R,100,2,"Cavendish Square, Claremont","Cavendish Square, Claremont, Cape Town",Cape Town,,189,-33.9806130000,18.4636580000,0,0
