name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Burma Burma,"Asian, Burmese",4.9,Excellent,743,Rs.,1500,3,"Select Citywalk Mall, Saket","Select Citywalk Mall, Saket, New Delhi",New Delhi,,1,28.5285140000,77.1488187000,0,1
The Hook,"Continental, Seafood, Asian",4.8,Excellent,1277,Rs.,1600,3,Sector 29,"Sector 29, Gurgaon",Gurgaon,,1,28.4683600161,77.0626813173,0,0
Masala House,North Indian,4.8,Excellent,707,Rs.,1800,3,Sunder Nagar,"Sunder Nagar, New Delhi",New Delhi,110003,1,28.6024015000,77.2410685000,1,1
Marine Drivve - Club & Courtyard,"Continental, Italian, North Indian, Chinese",4.7,Excellent,1230,Rs.,1300,3,Rajouri Garden,"Rajouri Garden, New Delhi",New Delhi,,1,28.6476278169,77.1188994125,0,1
Mama's Buoi,"North Indian, Continental, Italian",4.7,Excellent,1499,Rs.,1000,3,Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",New Delhi,,1,28.6931222861,77.2053506970,0,1
Indian Grill Room,"North Indian, Mughlai",4.7,Excellent,2201,Rs.,1800,3,"Suncity Business Tower, Golf Course Road","Suncity Business Tower, Golf Course Road, Gurgaon",Gurgaon,122002,1,28.4333348000,77.1058793000,1,0
Burma Burma,"Asian, Burmese",4.8,Excellent,1566,Rs.,1500,3,"Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,122002,1,28.4945399000,77.0890536000,1,1
Yeti - The Himalayan Kitchen,"Tibetan, Nepalese",4.7,Excellent,1064,Rs.,1300,3,Hauz Khas Village,"Hauz Khas Village, New Delhi",New Delhi,,1,28.5538411879,77.1943512931,1,1
Friction The Drinkery,"North Indian, Biryani, Thai",4.7,Excellent,421,Rs.,1700,3,Sector 29,"Sector 29, Gurgaon",Gurgaon,,1,28.4718779109,77.0712248236,0,1
Folks,"North Indian, Chinese, European, Finger Food",4.7,Excellent,496,Rs.,1750,3,Sector 16,"Sector 16, Faridabad",Faridabad,121002,1,28.4112385649,77.3193087056,0,0
Farzi Cafe,Modern Indian,4.6,Excellent,3186,Rs.,2200,4,Connaught Place,"Connaught Place, New Delhi",New Delhi,,1,28.6326570453,77.2213369980,0,1
Zaffran,"North Indian, Mughlai",4.6,Excellent,1114,Rs.,1800,3,Connaught Place,"Connaught Place, New Delhi",New Delhi,0,1,28.6337717539,77.2213990241,0,0
Karma Kismet,"North Indian, Awadhi",4.6,Excellent,712,Rs.,1500,3,Greater Kailash 2 (GK2),"Greater Kailash 2 (GK2), New Delhi",New Delhi,110048,1,28.5334188600,77.2418874130,1,1
Echoes Satyaniketan,"American, Chinese, Cafe, Continental, North Indian, Italian, Mexican, Mughlai",4.6,Excellent,2318,Rs.,600,2,Satyaniketan,"Satyaniketan, New Delhi",New Delhi,,1,28.5876087000,77.1671645000,0,0
PizzaExpress,"Italian, Pizza, Salad",4.6,Excellent,1690,Rs.,1600,3,"Ambience Mall, DLF Phase 3","Ambience Mall, DLF Phase 3, Gurgaon",Gurgaon,,1,28.5028009281,77.0973424986,1,0
Raise The Bar Rooftop - Clarens Hotel,"European, Continental, Italian",4.6,Excellent,534,Rs.,2500,4,"Clarens Hotel, Sector 29, Gurgaon","Clarens Hotel, Sector 29, Gurgaon, Gurgaon",Gurgaon,,1,28.4620141875,77.0685623959,0,1
Tashan,Modern Indian,4.6,Excellent,644,Rs.,2000,4,Greater Kailash 2 (GK2),"Greater Kailash 2 (GK2), New Delhi",New Delhi,,1,28.5335898000,77.2441084000,0,1
Gastronomica Kitchen & Bar,"European, Asian, North Indian, Italian, Continental",4.5,Excellent,2076,Rs.,1400,3,"M Block Market, Greater Kailash 1 (GK1)","M Block Market, Greater Kailash 1 (GK1), New Delhi",New Delhi,110048,1,28.5503508000,77.2350818000,1,1
Master Of Malts,"Continental, North Indian, Chinese, European, Asian",4.5,Excellent,1484,Rs.,1600,3,Connaught Place,"Connaught Place, New Delhi",New Delhi,110001,1,28.6298555080,77.2214224935,0,1
Ghar Bistro Cafe,"Cafe, Chinese, Mughlai, Kebab, North Indian",4.5,Excellent,1035,Rs.,1000,3,Rajouri Garden,"Rajouri Garden, New Delhi",New Delhi,110027,1,28.6466097000,77.1177743000,0,1
Philtre - The Bistro,Modern Indian,4.5,Excellent,1891,Rs.,1500,3,Sector 29,"Sector 29, Gurgaon",Gurgaon,122002,1,28.4683511740,77.0634051785,0,1
Spezia Bistro,"Cafe, Continental, Chinese, Italian",4.5,Excellent,2635,Rs.,900,2,Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",New Delhi,,1,28.6948216138,77.2041906416,0,1
