name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Sant'Eustachio il Caffè,"Cafe, Desserts",4.7,Excellent,81,€,15,1,Navona - Pantheon,"Navona - Pantheon, Roma",Roma,186,99,41.8984750000,12.4753805556,0,0
Antico Caffé Greco,"Cafe, Tavola Fredda",4.6,Excellent,48,€,40,3,Spagna,"Spagna, Roma",Roma,00187,99,41.9056113207,12.4816365167,0,0
Pompi Il Regno del Tiramisù,"Cafe, Ice Cream, Desserts, Tavola Fredda",4.4,Very Good,98,€,15,1,Re di Roma,"Re di Roma, Roma",Roma,00183,99,41.8806768635,12.5131477788,0,0
La Casa del Caffè - Tazza d'Oro,"Cafe, Tavola Fredda",4.4,Very Good,33,€,15,1,Navona - Pantheon,"Navona - Pantheon, Roma",Roma,186,99,41.8994611111,12.4775750000,0,0
Magnum Roma,"Cafe, Ice Cream",4.4,Very Good,24,€,15,1,Spagna,"Spagna, Roma",Roma,00187,99,41.9046735877,12.4778341502,0,0
Il Gianfornaio,"Cafe, Desserts, Pizza, Tavola Fredda, Tavola Calda",4.3,Very Good,43,€,20,2,Prati,"Prati, Roma",Roma,00194,99,41.9085137639,12.4649799988,0,0
Maranega,"Cafe, Pizza, Roman, Italian",4.1,Very Good,27,€,50,4,Campo de' Fiori,"Campo de' Fiori, Roma",Roma,00186,99,41.8955308429,12.4726142362,0,0
Bar Celestino,"Cafe, Tavola Fredda",4.1,Very Good,65,€,10,1,San Lorenzo,"San Lorenzo, Roma",Roma,00185,99,41.8982100000,12.5170170000,0,0
"Le Voilà - Facoltà di Giurisprudenza, Roma Tre","Cafe, Tavola Fredda, Tavola Calda",4.1,Very Good,47,€,10,1,Ostiense,"Ostiense, Roma",Roma,00154,99,41.8624271414,12.4800915644,0,0
La Portineria,"Cafe, Desserts, Tavola Fredda, Tavola Calda",4.1,Very Good,24,€,15,1,Salario,"Salario, Roma",Roma,00198,99,41.9118437259,12.5035867095,0,0
Castroni,"Cafe, Tavola Fredda",4.1,Very Good,20,€,15,1,Prati,"Prati, Roma",Roma,00192,99,41.9073465145,12.4632087350,0,0
Meccanismo,"Cafe, Panini, Italian",4.0,Very Good,37,€,50,4,Trastevere,"Trastevere, Roma",Roma,00153,99,41.8915456271,12.4701415747,0,0
Bar del Fico,"Cafe, Tavola Fredda, Tavola Calda",4.0,Very Good,43,€,40,3,Navona - Pantheon,"Navona - Pantheon, Roma",Roma,00186,99,41.8993538509,12.4705328420,0,0
Bar San Calisto,"Cafe, Tavola Fredda, Ice Cream",4.1,Very Good,28,€,10,1,Trastevere,"Trastevere, Roma",Roma,00153,99,41.8890949253,12.4706743285,0,0
Caffè Perù,"Cafe, Tavola Fredda, Tavola Calda",4.0,Very Good,19,€,10,1,Campo de' Fiori,"Campo de' Fiori, Roma",Roma,00186,99,41.8954569710,12.4701761082,0,0
La Fiorentina,"Pizza, Cafe, Grill, Steak, Tuscan, Desserts, Italian",4.0,Very Good,26,€,40,3,Prati,"Prati, Roma",Roma,00192,99,41.9100924361,12.4528252333,0,0
Canova,"Cafe, Tavola Fredda, Roman, Italian",4.0,Very Good,23,€,80,4,Spagna,"Spagna, Roma",Roma,00187,99,41.9103222348,12.4770123884,0,0
"Le Voilà - Facoltà di Lettere e Filosofia, Roma Tre","Cafe, Tavola Fredda, Tavola Calda",3.9,Good,29,€,10,1,San Paolo,"San Paolo, Roma",Roma,00146,99,41.8509420000,12.4756160000,0,0
Ciuri Ciuri,"Cafe, Desserts, Ice Cream, Tavola Calda, Sicilian",3.9,Good,22,€,20,2,Monti,"Monti, Roma",Roma,00184,99,41.8948003551,12.4919640273,0,0
Vyta,"Cafe, Desserts, Tavola Fredda",3.8,Good,15,€,10,1,"Stazione Termini, Esquilino - Termini","Stazione Termini, Esquilino - Termini, Roma",Roma,00186,99,41.9018600000,12.5027780000,0,0
Caffè Trombetta,"Cafe, Tavola Fredda",3.9,Good,25,€,10,1,Policlinico,"Policlinico, Roma",Roma,00161,99,41.9078861111,12.5186166667,0,0
Caffè Novecento,"Cafe, Tavola Fredda, Tavola Calda, Desserts",3.9,Good,17,€,40,3,Navona - Pantheon,"Navona - Pantheon, Roma",Roma,00186,99,41.8992160978,12.4691786617,0,0
Nonna Vincenza,"Cafe, Desserts, Sicilian",3.9,Good,11,€,15,1,Campo de' Fiori,"Campo de' Fiori, Roma",Roma,00186,99,41.8940503922,12.4730873108,0,0
Baylon Cafè,"Cafe, Tavola Fredda, Italian",4.0,Very Good,26,€,40,3,Trastevere,"Trastevere, Roma",Roma,00153,99,41.8877393740,12.4713934958,0,0
Rossopomodoro,"Neapolitan, Pizza, Italian",3.8,Good,24,€,40,3,Campo de' Fiori,"Campo de' Fiori, Roma",Roma,00186,99,41.8958512866,12.4762617052,0,0
Pascucci Frullati,"Cafe, Tavola Fredda, Healthy Food",3.8,Good,11,€,15,1,Navona - Pantheon,"Navona - Pantheon, Roma",Roma,186,99,41.8964015775,12.4764169380,0,0
Bar dei Brutti,"Cafe, Tavola Fredda",3.8,Good,17,€,15,1,San Lorenzo,"San Lorenzo, Roma",Roma,00185,99,41.8974722222,12.5142750000,0,0
MparE...,"Cafe, Seafood, Italian, Sicilian",3.8,Good,22,€,40,3,Bologna,"Bologna, Roma",Roma,00161,99,41.9101091533,12.5188890472,0,0
Libreria Kappa,"Cafe, Tavola Fredda",3.8,Good,14,€,15,1,Policlinico,"Policlinico, Roma",Roma,00161,99,41.9064611111,12.5168111111,0,0
Trevi Caffè,"Cafe, Pizza, Ice Cream, Tavola Fredda",3.8,Good,8,€,25,2,Fontana di Trevi,"Fontana di Trevi, Roma",Roma,00187,99,41.9008057303,12.4837809429,0,0
Don Nino,"Desserts, Ice Cream, Cafe, Tavola Fredda",3.8,Good,13,€,15,1,Quartiere Africano,"Quartiere Africano, Roma",Roma,00199,99,41.9281247530,12.5156315044,0,0
