name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
New Horizon,Indian,4.5,Excellent,395,$,12000,2,Santiago Centro,"Santiago Centro, Santiago",Santiago,,42,-33.4380256953,-70.6450966001,0,0
Maprao Thai,"Thai, Asian",4.3,Very Good,414,$,13000,2,Providencia,"Providencia, Santiago",Santiago,7630290,42,-33.3986251276,-70.5861986428,0,0
Lai Thai,Thai,4.3,Very Good,139,$,14000,2,Santiago Centro,"Santiago Centro, Santiago",Santiago,,42,-33.4730473308,-70.6398931146,0,0
Thai Express,"Thai, Asian",4.1,Very Good,245,$,13000,2,Santiago Centro,"Santiago Centro, Santiago",Santiago,,42,-33.4379403618,-70.6442097947,0,0
Crudo y Sin Censura,"Bar Food, Steak",4.1,Very Good,125,$,13500,2,Providencia,"Providencia, Santiago",Santiago,,42,-33.4269607307,-70.6156057119,0,0
Panko,"Sushi, Nikkei, Japanese",4.1,Very Good,123,$,24000,2,Santiago Centro,"Santiago Centro, Santiago",Santiago,,42,-33.4394928598,-70.6412556767,0,0
La Mechada Nacional,"Sandwich, Chilean",4.1,Very Good,131,$,8000,1,Providencia,"Providencia, Santiago",Santiago,,42,-33.4222146133,-70.6087600440,0,0
Garage 0276,Burger,4.1,Very Good,67,$,14000,2,Las Condes,"Las Condes, Santiago",Santiago,,42,-33.4144500000,-70.5526970000,0,0
Verace Pizza,Pizza,4.1,Very Good,100,$,17000,2,Santiago Centro,"Santiago Centro, Santiago",Santiago,,42,-33.4366505559,-70.6432200596,0,0
El Remanso,Empanadas,4.1,Very Good,118,$,4000,1,La Florida,"La Florida, Santiago",Santiago,,42,-33.5203999680,-70.5593416840,0,0
Italita,Pizza,4.1,Very Good,73,$,15000,2,Providencia,"Providencia, Santiago",Santiago,,42,-33.4188145760,-70.6074709073,0,0
Elkika Ilmenau,"German, Sandwich",4.0,Very Good,359,$,16000,2,Providencia,"Providencia, Santiago",Santiago,,42,-33.4239476016,-70.6105038151,0,0
La Mensajería,"Empanadas, Sandwich, Healthy Food",4.0,Very Good,299,$,14000,2,Providencia,"Providencia, Santiago",Santiago,,42,-33.4243113765,-70.6115287542,0,0
Take a Wok,"Asian, Thai",4.0,Very Good,240,$,10500,2,"Costanera Center, Providencia","Costanera Center, Providencia, Santiago",Santiago,,42,-33.4177136630,-70.6058857217,0,0
Vegan Bunker,"Healthy Food, Cafe, Pastry",4.0,Very Good,174,$,8000,1,Providencia,"Providencia, Santiago",Santiago,,42,-33.4475540000,-70.6233440000,0,0
