name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
Coco Ichibanya Curry,Japanese,4.6,Excellent,378,IDR,260000,3,"Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",Jakarta,,94,-6.1956550872,106.8203285337,0,0
Bakso Akiaw 99,"Bakmi, Bakso, Chinese",4.6,Excellent,548,IDR,120000,2,Mangga Besar,"Mangga Besar, Jakarta",Jakarta,,94,-6.1499605727,106.8176872283,0,0
Aroma Sop Seafood,Seafood,4.5,Excellent,364,IDR,100000,2,Muara Karang,"Muara Karang, Jakarta",Jakarta,,94,-6.1165218610,106.7795921490,0,0
Martabak Favourite Rawamangun,"Street Food, Martabak",4.5,Excellent,390,IDR,80000,2,Rawamangun,"Rawamangun, Jakarta",Jakarta,,94,-6.2003821795,106.8859011680,0,0
"Bakmi Cong Sim ""Athek""","Bakmi, Medan",4.5,Excellent,158,IDR,70000,1,Mangga Besar,"Mangga Besar, Jakarta",Jakarta,,94,-6.1499682397,106.8180513382,0,0
Seafood Station,Seafood,4.5,Excellent,93,IDR,80000,2,Cengkareng,"Cengkareng, Jakarta",Jakarta,,94,-6.1326009331,106.7106000334,0,0
Bubur Angke,Chinese,4.5,Excellent,132,IDR,130000,2,"Komplek Taman Harapan Indah, Jelambar","Komplek Taman Harapan Indah, Jelambar, Jakarta",Jakarta,,94,-6.1446113332,106.7877319828,0,0
Wing Heng Hongkong Dim Sum Shop,Asian,4.4,Very Good,295,IDR,150000,3,Pluit,"Pluit, Jakarta",Jakarta,,94,-6.1124647633,106.7808832973,0,0
Wiro Sableng,"Seafood, Indonesian",4.4,Very Good,568,IDR,200000,3,Kelapa Gading,"Kelapa Gading, Jakarta",Jakarta,,94,-6.1529720172,106.9091324508,0,0
SaladStop!,Healthy Food,4.4,Very Good,380,IDR,250000,3,"Senayan City, Senayan","Senayan City, Senayan, Jakarta",Jakarta,,94,-6.2275403059,106.7967311293,0,0
Pizza Place,Pizza,4.4,Very Good,238,IDR,100000,2,"Como Park, Kemang","Como Park, Kemang, Jakarta",Jakarta,,94,-6.2725885444,106.8210570887,0,0
Berrywell,Healthy Food,4.4,Very Good,227,IDR,150000,3,"Fairgrounds, SCBD","Fairgrounds, SCBD, Jakarta",Jakarta,,94,-6.2264204246,106.8072474003,0,0
Berrywell,Healthy Food,4.4,Very Good,134,IDR,150000,3,"Plaza Senayan, Senayan","Plaza Senayan, Senayan, Jakarta",Jakarta,,94,-6.2247832606,106.7989754677,0,0
Soto Betawi H. Husein,"Soto, Betawi",4.4,Very Good,197,IDR,50000,1,Manggarai,"Manggarai, Jakarta",Jakarta,,94,-6.2130009950,106.8449089676,0,0
SaladStop!,Healthy Food,4.4,Very Good,133,IDR,250000,3,"Plaza Indonesia, Thamrin","Plaza Indonesia, Thamrin, Jakarta",Jakarta,,94,-6.1935168490,106.8216116354,0,0
SaladStop!,Healthy Food,4.4,Very Good,139,IDR,250000,3,"Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",Jakarta,,94,-6.1952804378,106.8201669306,0,0
Martabak Bangka Akim,"Street Food, Martabak",4.4,Very Good,93,IDR,50000,1,Tanjung Duren,"Tanjung Duren, Jakarta",Jakarta,,94,-6.1714079921,106.7829224467,0,0
Marugame Udon,Japanese,4.4,Very Good,71,IDR,120000,2,"Mall Kelapa Gading, Kelapa Gading","Mall Kelapa Gading, Kelapa Gading, Jakarta",Jakarta,,94,-6.1571731438,106.9097966328,0,0
Daitokyo Sakaba,"Japanese, Ramen",4.3,Very Good,749,IDR,250000,3,Melawai,"Melawai, Jakarta",Jakarta,,94,-6.2442099226,106.8011014536,0,0
Ikkudo Ichi,"Ramen, Japanese",4.3,Very Good,394,IDR,180000,3,"Central Park, Tanjung Duren","Central Park, Tanjung Duren, Jakarta",Jakarta,,94,-6.1761046348,106.7909908667,0,0
Marugame Udon,Japanese,4.3,Very Good,585,IDR,120000,2,"Gandaria City Mall, Gandaria","Gandaria City Mall, Gandaria, Jakarta",Jakarta,,94,-6.2443482367,106.7838454619,0,0
AEON Sushi,"Sushi, Japanese",4.3,Very Good,320,IDR,80000,2,"AEON Mall, Serpong","AEON Mall, Serpong, Tangerang",Tangerang,,94,-6.3051312390,106.6428983957,0,0
Ikkudo Ichi,"Ramen, Japanese",4.3,Very Good,505,IDR,180000,3,"Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",Jakarta,,94,-6.1953607675,106.8202487379,0,0
Sate Taichan Goreng Bogor,"Street Food, Satay",4.3,Very Good,278,IDR,70000,1,Bogor Timur,"Bogor Timur, Bogor",Bogor,,94,-6.6140070000,106.8134730000,0,0
